"UrbanRural","TotalIncomeLastYear","TotalExpLastQ"
1,98600,5972.1667
1,24360,5854.5
1,80200,5506.6666
1,150500,8968.8912
1,130000,10092.8333
1,32836,5520.2667
1,1660,2110
1,111808,18065.7368
1,6204,1048.3333
1,106000,12749.25
1,183000,7093.0166
1,5010,16376.4
1,21528,9068.7001
1,33143,2842.25
1,100800,16928.4998
1,105000,8186.8334
1,100001,23244.1001
1,62150,25096.85
1,20712,3422.8333
1,157200,9457.2
1,62000,10761.6667
1,100000,12754.75
1,25082,2103.8333
1,45164,6681.9001
1,8400,2381.6
1,61000,10814.25
1,40000,4369
1,62712,6520.9332
1,45000,3668.2501
1,100000,13595.7999
1,29076,1764.9333
1,40000,13166.9999
1,94200,14568.4
1,8268,2479.4
1,126000,5929.4499
1,24000,8569.4001
1,68000,3476.9166
1,148808,19771.4
1,2,1525
1,64132,7148.4001
1,24500,5080.05
1,44512,15129.6001
1,10000,2291.25
1,94200,9133.1667
1,37344,2200.9333
1,33186,17444.8
1,91100,4456.75
1,31810,39030.8101
1,65000,7611.2501
2,72010,7628.5
1,29616,5137.8
1,52000,10688.9
1,136250,4027
1,33034,5717.4
2,47016,10872.7579
1,70612,13540.1501
1,11232,5542.9501
1,25000,3557.2501
1,461103,11688.6666
1,130112,12127.3333
2,14376,5928.6667
1,30000,9012
1,90000,25520.25
1,89000,15389.2002
1,92000,17023.4001
1,413302,16133.85
1,60000,10262.7499
1,57879,52902.2602
1,66000,12702.25
1,39562,8806.5001
1,147706,8755.6669
1,153000,10243.5001
1,27000,5389.5001
1,43000,5862.2001
1,60408,4431.8001
1,24100,7191.9501
1,17208,3293.9333
1,74875,14337.2499
2,28475,3811.9333
1,36223,4323.6
1,57000,3807.55
1,25655,305363.4667
1,60250,6818.0333
1,16716,6065
1,10530,753.6667
1,25000,27843.8334
1,43000,5160.8334
1,17000,17660.0999
1,3216,2664.2667
1,26520,8350.3333
1,3216,2485.6
1,200000,24089.6667
1,134000,22739.5335
1,3216,4957.8667
1,84108,15862.0333
1,38816,9864.05
1,28000,6897.2501
1,61568,13771.8
2,28560,6662.3999
1,75000,5167.4456
1,85000,13177.7501
1,86000,13153.4999
1,35000,9120.2502
1,4296,5706.9333
1,82700,18950.0001
1,60000,8483.3333
1,58000,5349.75
1,67368,14276.9334
1,25500,2218.9166
1,75000,11484.5001
1,102773,7832.4167
1,70000,10455.4244
1,2100,1904.4167
1,3310,5087.9333
1,12000,2084.9
2,7000,3734.5999
1,59016,6768.85
1,130000,17450.7499
1,22404,3463.2001
1,3216,3997.8
1,11835,1612.25
1,111664,10254.3333
1,100000,2318.0667
1,34000,2609.2666
1,22000,8890.25
1,70540,17381.95
1,50000,19081.25
1,21766,4680.4
1,95080,27511
1,328386,38534.2499
1,14364,1860.4667
1,21788,3879.0333
2,40000,5947.6667
1,68000,2721.1833
1,75000,6699.3334
1,151808,6511.2456
1,58700,8383.6
1,89000,18787.3333
1,34400,5322.1334
1,25000,5786.9001
1,157510,32249.7
1,117209,6423.5
1,35316,3198.4667
1,35000,6298.8834
1,120000,14881.6667
2,85500,29477.2734
1,41892,2091.0834
1,21600,6332.9998
1,34000,1324.75
1,86640,12279.6667
1,59000,3674.6667
1,16400,4901.6333
1,10068,1246.6667
2,55000,1874
1,116000,4797.1667
1,22000,1380.75
1,101060,56852.5001
1,29000,2951.5834
1,90050,6905.5
1,45000,12010.7501
1,24000,2010
1,2000,1891.9501
1,52000,2592.6667
1,69000,5080.85
1,25000,4811.1667
1,22050,3603.2667
1,54600,21499.35
1,55000,13978.5498
1,15408,3180.9
1,83300,5936.4167
1,23650,1623.1333
1,30000,19995.5
1,17000,4026.55
1,35092,6059.9667
1,33476,5450.1667
1,20196,2323.1333
1,3216,3334.9333
1,29016,12587.4
1,34731,4498.8333
1,29376,9350.3
1,60000,7039
1,13780,4285.5
1,18960,2828
1,9588,7225
1,11820,1198.3333
1,140000,14404.9999
1,40000,7448.4
1,36914,2465.3334
1,11504,3732.2499
1,95000,5694
1,132000,14453.3333
1,17208,1263.8
1,32926,3770.2
1,106421,8027
1,65000,9499.2501
1,78000,10726.9999
1,65010,10343.4
1,151978,6127.8999
1,36550,2772.5
1,494245,28160.5579
1,86000,11718.6666
1,42760,7432
1,100000,5368
1,98000,29739.9998
1,195000,42631.0866
1,29152,2149.8
1,10048,6866.4
1,59000,49045.1667
1,75000,7691.4
1,97000,5903.8334
1,37236,12017.8
1,208600,23055.8001
1,105116,2912.2667
1,108048,5259.2499
1,43000,2421.8334
1,124000,7394.4999
1,19597,9904.6667
1,1400,978.7
1,17367,1484.4667
1,35664,10031.5001
1,16728,1802.3
1,56120,12293.8001
1,733,1764
1,2903,9282.2
1,58000,6146.7667
1,110250,24110.7501
1,1600,1018.5001
1,60000,9282.6666
1,15000,4131.0001
1,102200,19887.7499
1,22284,5527.8
2,49830,9011.5
1,612826,50502.1245
1,64423,9576.4
1,74000,11470.7501
1,35000,2583.75
1,23028,1841.4167
1,33612,7127.8
1,42252,2010.9333
1,118500,6521.5834
1,106720,4788.85
1,110000,17104.2501
1,80000,6720.6667
1,59000,2454.05
1,48808,3054.3
1,58018,6821.1333
1,109400,26502.4001
1,60780,12534.7499
1,56000,3068.55
1,11958,4713.9
1,2479,4787.4
1,49062,9198.4333
1,47200,20036.05
1,108800,12826.6001
1,28200,8431.5499
1,134000,15422.4999
1,158875,29583.05
1,143476,14068.75
2,30000,7725.8333
1,73200,13006.8001
1,18936,1359.9333
1,34000,9145.9001
1,25680,2789.5667
1,17001,8369.4999
1,44025,5234.6667
1,107928,11280.9333
1,36771,4345.6667
1,34000,6396.6499
1,51396,9966.3999
1,43000,5726.8956
1,3936,4171.1001
1,233020,5749.3334
1,67000,8068.8334
1,100000,15837.5
1,93027,20975.8367
1,5616,10111.8
1,33000,10965.2501
1,11848,15151.2501
1,122000,15944.5
1,12600,9986.5333
1,18000,5249.0333
1,132000,8883.6667
2,12408,1577.3333
1,47000,8081.5
1,125000,4730.0833
1,97800,15603.4001
1,84373,4182.9667
1,79000,13915.9499
1,435944,9908.9789
1,14500,2706.2502
1,84000,7596.3333
1,14016,862.6667
1,7740,17907.9333
1,349386,47182.2501
1,134808,10378.4667
1,1600,429.5833
1,171700,5858.6667
1,43000,7301.4333
1,62000,4487.6667
1,45000,7187.7501
1,66000,8511.5333
1,38532,1564.25
1,86676,21804.65
1,112000,3898.5
1,41100,4696.3333
1,125988,3243.1333
1,131288,5905.05
1,23209,5264.4667
1,40000,8389.5
1,8600,1349.75
1,650,3965.2667
1,118000,19055.1
1,170000,17825.4999
1,9972,2287.3333
1,150000,35074.7245
1,23400,2185.3333
1,10496,1639.7667
1,39000,6088.3334
2,30516,13531.5333
1,99276,10229.4
2,18000,2717.6833
1,12164,4740.4
1,18400,4526.6667
1,1035933,1270597.7245
1,37000,4835.6667
1,24140,3573.6667
1,143000,4214.3334
1,33666,1478.9166
1,115000,8096.6667
1,84008,30196.9333
1,60500,7477.6667
1,114857,9698.9333
1,15297,4766.6
1,138385,4814.6667
1,208000,10512.4168
1,144000,15492
1,3216,5376.5999
1,7085,3460.9167
1,13182,2734.6999
1,44000,6807.6667
2,3456,1655.9667
1,3917,3453.8
1,95000,10019.5
1,58728,8567.2334
1,132433,16065.6667
1,39800,12104.2501
1,120000,30449.6733
1,16312,2646.9333
1,30000,11374.5
1,199000,57454.3368
2,118500,4842.5167
1,27000,3855.7666
1,82000,5157.2999
1,21036,2811.5166
1,20000,1525
1,80000,4673.8333
1,98608,16177.7499
1,5121,1567.5834
1,2000,3719.4
1,110708,4258.2667
1,107512,16085.75
1,16800,5730.1499
1,45000,2138.5834
1,90108,41496.5101
1,198750,29751.2501
2,99000,3459.8667
1,14729,2840.6
1,40102,3713.1834
1,9050,11758.2502
1,24000,1926.8333
1,16000,3667.2333
