Name,Total,word,N,Rate,Authorship
Federalist No. 1,1622,can,3,1.8495684340320593,Hamilton
Federalist No. 11,2511,can,5,1.9912385503783352,Hamilton
Federalist No. 12,2171,can,2,0.921234454168586,Hamilton
Federalist No. 13,970,can,4,4.123711340206186,Hamilton
Federalist No. 15,3095,can,14,4.523424878836834,Hamilton
Federalist No. 16,2047,can,1,0.48851978505129456,Hamilton
Federalist No. 17,1574,can,2,1.2706480304955527,Hamilton
Federalist No. 21,2003,can,9,4.493260109835248,Hamilton
Federalist No. 22,3565,can,6,1.683029453015428,Hamilton
Federalist No. 23,1807,can,11,6.087437742114001,Hamilton
Federalist No. 24,2012,can,4,1.9880715705765406,Hamilton
Federalist No. 25,1992,can,3,1.5060240963855422,Hamilton
Federalist No. 26,2388,can,5,2.0938023450586263,Hamilton
Federalist No. 27,1460,can,11,7.534246575342466,Hamilton
Federalist No. 28,1609,can,12,7.458048477315103,Hamilton
Federalist No. 29,2248,can,11,4.893238434163701,Hamilton
Federalist No. 30,1974,can,12,6.079027355623101,Hamilton
Federalist No. 31,1740,can,2,1.1494252873563218,Hamilton
Federalist No. 32,1493,can,1,0.6697923643670461,Hamilton
Federalist No. 33,1694,can,2,1.1806375442739079,Hamilton
Federalist No. 34,2220,can,7,3.153153153153153,Hamilton
Federalist No. 35,2261,can,6,2.6536930561698364,Hamilton
Federalist No. 36,2745,can,16,5.828779599271402,Hamilton
Federalist No. 59,1919,can,6,3.126628452318916,Hamilton
Federalist No. 6,2054,can,2,0.9737098344693281,Hamilton
Federalist No. 60,2260,can,4,1.7699115044247788,Hamilton
Federalist No. 61,1526,can,6,3.931847968545216,Hamilton
Federalist No. 65,2026,can,5,2.4679170779861797,Hamilton
Federalist No. 66,2270,can,3,1.3215859030837005,Hamilton
Federalist No. 67,1660,can,3,1.8072289156626506,Hamilton
Federalist No. 68,1519,can,1,0.6583278472679394,Hamilton
Federalist No. 69,3001,can,18,5.9980006664445185,Hamilton
Federalist No. 7,2315,can,3,1.2958963282937366,Hamilton
Federalist No. 70,3121,can,5,1.6020506247997437,Hamilton
Federalist No. 71,1755,can,2,1.1396011396011396,Hamilton
Federalist No. 72,2049,can,2,0.9760858955588092,Hamilton
Federalist No. 73,2373,can,3,1.2642225031605563,Hamilton
Federalist No. 76,2310,can,2,0.8658008658008658,Hamilton
Federalist No. 77,1980,can,8,4.040404040404041,Hamilton
Federalist No. 78,3074,can,18,5.855562784645413,Hamilton
Federalist No. 79,1042,can,7,6.717850287907869,Hamilton
Federalist No. 8,2062,can,1,0.48496605237633367,Hamilton
Federalist No. 80,2460,can,5,2.032520325203252,Hamilton
Federalist No. 81,3933,can,6,1.5255530129672006,Hamilton
Federalist No. 82,1554,can,5,3.2175032175032174,Hamilton
Federalist No. 83,5855,can,6,1.0247651579846286,Hamilton
Federalist No. 84,4212,can,11,2.611585944919278,Hamilton
Federalist No. 85,2720,can,10,3.676470588235294,Hamilton
Federalist No. 9,1997,can,1,0.500751126690035,Hamilton
