Name,Total,word,N,Rate,Authorship
Federalist No. 10,3008,can,4,1.3297872340425532,Madison
Federalist No. 14,2159,can,9,4.168596572487263,Madison
Federalist No. 19,2056,can,1,0.48638132295719844,Madison
Federalist No. 20,1531,can,1,0.6531678641410843,Madison
Federalist No. 37,2719,can,2,0.735564545788893,Madison
Federalist No. 38,3328,can,9,2.704326923076923,Madison
Federalist No. 39,2616,can,1,0.382262996941896,Madison
Federalist No. 40,3036,can,3,0.9881422924901185,Madison
Federalist No. 41,3560,can,9,2.528089887640449,Madison
Federalist No. 42,2786,can,3,1.0768126346015794,Madison
Federalist No. 43,3447,can,9,2.6109660574412534,Madison
Federalist No. 44,2912,can,7,2.403846153846154,Madison
Federalist No. 46,2624,can,7,2.6676829268292686,Madison
Federalist No. 47,2748,can,9,3.2751091703056767,Madison
Federalist No. 48,1873,can,4,2.135611318739989,Madison
Federalist No. 49,1657,can,4,2.4140012070006036,Madison
Federalist No. 51,1924,can,3,1.5592515592515594,Madison
Federalist No. 52,1854,can,7,3.7756202804746497,Madison
Federalist No. 53,2175,can,13,5.977011494252874,Madison
Federalist No. 55,2051,can,8,3.9005363237445145,Madison
Federalist No. 56,1580,can,4,2.5316455696202533,Madison
Federalist No. 57,2216,can,7,3.15884476534296,Madison
Federalist No. 58,2093,can,5,2.3889154323936936,Madison
Federalist No. 62,2397,can,9,3.7546933667083855,Madison
Federalist No. 63,3050,can,14,4.590163934426229,Madison
