word,N,Name,Authorship,Disputed
the,133,Federalist No. 1,Hamilton,no
of,106,Federalist No. 1,Hamilton,no
to,72,Federalist No. 1,Hamilton,no
and,40,Federalist No. 1,Hamilton,no
be,34,Federalist No. 1,Hamilton,no
that,28,Federalist No. 1,Hamilton,no
in,27,Federalist No. 1,Hamilton,no
a,25,Federalist No. 1,Hamilton,no
will,25,Federalist No. 1,Hamilton,no
it,20,Federalist No. 1,Hamilton,no
which,18,Federalist No. 1,Hamilton,no
by,14,Federalist No. 1,Hamilton,no
i,14,Federalist No. 1,Hamilton,no
not,14,Federalist No. 1,Hamilton,no
their,14,Federalist No. 1,Hamilton,no
this,14,Federalist No. 1,Hamilton,no
is,13,Federalist No. 1,Hamilton,no
are,12,Federalist No. 1,Hamilton,no
for,12,Federalist No. 1,Hamilton,no
an,11,Federalist No. 1,Hamilton,no
from,11,Federalist No. 1,Hamilton,no
may,11,Federalist No. 1,Hamilton,no
than,11,Federalist No. 1,Hamilton,no
as,10,Federalist No. 1,Hamilton,no
have,10,Federalist No. 1,Hamilton,no
its,10,Federalist No. 1,Hamilton,no
your,10,Federalist No. 1,Hamilton,no
all,9,Federalist No. 1,Hamilton,no
government,9,Federalist No. 1,Hamilton,no
on,9,Federalist No. 1,Hamilton,no
those,9,Federalist No. 1,Hamilton,no
at,8,Federalist No. 1,Hamilton,no
constitution,8,Federalist No. 1,Hamilton,no
men,8,Federalist No. 1,Hamilton,no
my,8,Federalist No. 1,Hamilton,no
we,8,Federalist No. 1,Hamilton,no
who,8,Federalist No. 1,Hamilton,no
more,7,Federalist No. 1,Hamilton,no
new,7,Federalist No. 1,Hamilton,no
shall,7,Federalist No. 1,Hamilton,no
union,7,Federalist No. 1,Hamilton,no
you,7,Federalist No. 1,Hamilton,no
any,6,Federalist No. 1,Hamilton,no
good,6,Federalist No. 1,Hamilton,no
has,6,Federalist No. 1,Hamilton,no
or,6,Federalist No. 1,Hamilton,no
people,6,Federalist No. 1,Hamilton,no
state,6,Federalist No. 1,Hamilton,no
they,6,Federalist No. 1,Hamilton,no
upon,6,Federalist No. 1,Hamilton,no
with,6,Federalist No. 1,Hamilton,no
appearance,5,Federalist No. 1,Hamilton,no
liberty,5,Federalist No. 1,Hamilton,no
many,5,Federalist No. 1,Hamilton,no
truth,5,Federalist No. 1,Hamilton,no
if,4,Federalist No. 1,Hamilton,no
one,4,Federalist No. 1,Hamilton,no
own,4,Federalist No. 1,Hamilton,no
subject,4,Federalist No. 1,Hamilton,no
well,4,Federalist No. 1,Hamilton,no
am,3,Federalist No. 1,Hamilton,no
ambition,3,Federalist No. 1,Hamilton,no
arguments,3,Federalist No. 1,Hamilton,no
been,3,Federalist No. 1,Hamilton,no
can,3,Federalist No. 1,Hamilton,no
certain,3,Federalist No. 1,Hamilton,no
discussion,3,Federalist No. 1,Hamilton,no
equally,3,Federalist No. 1,Hamilton,no
every,3,Federalist No. 1,Hamilton,no
general,3,Federalist No. 1,Hamilton,no
great,3,Federalist No. 1,Hamilton,no
however,3,Federalist No. 1,Hamilton,no
interest,3,Federalist No. 1,Hamilton,no
least,3,Federalist No. 1,Hamilton,no
made,3,Federalist No. 1,Hamilton,no
much,3,Federalist No. 1,Hamilton,no
must,3,Federalist No. 1,Hamilton,no
no,3,Federalist No. 1,Hamilton,no
nothing,3,Federalist No. 1,Hamilton,no
opposition,3,Federalist No. 1,Hamilton,no
other,3,Federalist No. 1,Hamilton,no
our,3,Federalist No. 1,Hamilton,no
political,3,Federalist No. 1,Hamilton,no
principles,3,Federalist No. 1,Hamilton,no
right,3,Federalist No. 1,Hamilton,no
so,3,Federalist No. 1,Hamilton,no
spirit,3,Federalist No. 1,Hamilton,no
these,3,Federalist No. 1,Hamilton,no
