Name,Total,word,N,Rate,Authorship,Disputed
Federalist No. 1,1622,the,133,0.08199753390875462,Hamilton,no
Federalist No. 1,1622,of,106,0.06535141800246609,Hamilton,no
Federalist No. 1,1622,to,72,0.04438964241676942,Hamilton,no
Federalist No. 1,1622,and,40,0.02466091245376079,Hamilton,no
Federalist No. 1,1622,be,34,0.02096177558569667,Hamilton,no
Federalist No. 1,1622,that,28,0.01726263871763255,Hamilton,no
Federalist No. 1,1622,in,27,0.016646115906288533,Hamilton,no
Federalist No. 1,1622,a,25,0.015413070283600493,Hamilton,no
Federalist No. 1,1622,will,25,0.015413070283600493,Hamilton,no
Federalist No. 1,1622,it,20,0.012330456226880395,Hamilton,no
Federalist No. 1,1622,which,18,0.011097410604192354,Hamilton,no
Federalist No. 1,1622,by,14,0.008631319358816275,Hamilton,no
Federalist No. 1,1622,i,14,0.008631319358816275,Hamilton,no
Federalist No. 1,1622,not,14,0.008631319358816275,Hamilton,no
Federalist No. 1,1622,their,14,0.008631319358816275,Hamilton,no
Federalist No. 1,1622,this,14,0.008631319358816275,Hamilton,no
Federalist No. 1,1622,is,13,0.008014796547472256,Hamilton,no
Federalist No. 1,1622,are,12,0.007398273736128237,Hamilton,no
Federalist No. 1,1622,for,12,0.007398273736128237,Hamilton,no
Federalist No. 1,1622,an,11,0.006781750924784217,Hamilton,no
Federalist No. 1,1622,from,11,0.006781750924784217,Hamilton,no
Federalist No. 1,1622,may,11,0.006781750924784217,Hamilton,no
Federalist No. 1,1622,than,11,0.006781750924784217,Hamilton,no
Federalist No. 1,1622,as,10,0.006165228113440197,Hamilton,no
Federalist No. 1,1622,have,10,0.006165228113440197,Hamilton,no
Federalist No. 1,1622,its,10,0.006165228113440197,Hamilton,no
Federalist No. 1,1622,your,10,0.006165228113440197,Hamilton,no
Federalist No. 1,1622,all,9,0.005548705302096177,Hamilton,no
Federalist No. 1,1622,government,9,0.005548705302096177,Hamilton,no
Federalist No. 1,1622,on,9,0.005548705302096177,Hamilton,no
Federalist No. 1,1622,those,9,0.005548705302096177,Hamilton,no
Federalist No. 1,1622,at,8,0.004932182490752158,Hamilton,no
Federalist No. 1,1622,constitution,8,0.004932182490752158,Hamilton,no
Federalist No. 1,1622,men,8,0.004932182490752158,Hamilton,no
Federalist No. 1,1622,my,8,0.004932182490752158,Hamilton,no
Federalist No. 1,1622,we,8,0.004932182490752158,Hamilton,no
Federalist No. 1,1622,who,8,0.004932182490752158,Hamilton,no
Federalist No. 1,1622,more,7,0.004315659679408138,Hamilton,no
Federalist No. 1,1622,new,7,0.004315659679408138,Hamilton,no
Federalist No. 1,1622,shall,7,0.004315659679408138,Hamilton,no
Federalist No. 1,1622,union,7,0.004315659679408138,Hamilton,no
Federalist No. 1,1622,you,7,0.004315659679408138,Hamilton,no
Federalist No. 1,1622,any,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,good,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,has,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,or,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,people,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,state,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,they,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,upon,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,with,6,0.0036991368680641184,Hamilton,no
Federalist No. 1,1622,appearance,5,0.0030826140567200987,Hamilton,no
Federalist No. 1,1622,liberty,5,0.0030826140567200987,Hamilton,no
Federalist No. 1,1622,many,5,0.0030826140567200987,Hamilton,no
Federalist No. 1,1622,truth,5,0.0030826140567200987,Hamilton,no
Federalist No. 1,1622,if,4,0.002466091245376079,Hamilton,no
Federalist No. 1,1622,one,4,0.002466091245376079,Hamilton,no
Federalist No. 1,1622,own,4,0.002466091245376079,Hamilton,no
Federalist No. 1,1622,subject,4,0.002466091245376079,Hamilton,no
Federalist No. 1,1622,well,4,0.002466091245376079,Hamilton,no
Federalist No. 1,1622,am,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,ambition,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,arguments,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,been,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,can,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,certain,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,discussion,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,equally,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,every,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,general,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,great,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,however,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,interest,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,least,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,made,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,much,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,must,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,no,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,nothing,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,opposition,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,other,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,our,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,political,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,principles,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,right,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,so,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,spirit,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,these,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,too,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,under,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,zeal,3,0.0018495684340320592,Hamilton,no
Federalist No. 1,1622,1,2,0.0012330456226880395,Hamilton,no
