SEASON,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,ANNUAL
1940-41,0,0,0,T,17.5,12.1,17.3,23.1,9.3,T,0,0,79.3
1941-42,0,0,0,T,5,7.8,31,28,13.7,4.1,0,0,89.6
1942-43,0,0,0,T,8.7,26.7,16.9,17.7,10.4,5.1,T,0,85.5
1943-44,0,0,0,1.5,13.6,1.7,3.4,24.6,10.5,2.7,0,0,58
1944-45,0,0,0,0,3.9,35.1,50.6,23.3,5.8,T,2,0,120.7
1945-46,0,0,0,T,25.2,51.1,10.7,23.5,T,T,0,0,110.5
1946-47,0,0,0,0,T,11.9,13,22.2,13.5,4,0.8,0,65.4
1947-48,0,0,0,0,9.9,4.3,16.7,7,4.2,T,T,0,42.1
1948-49,0,0,0,T,1.3,7,11.8,5.2,14.3,0.5,0,0,40.1
1949-50,0,0,0,0,28.6,9.5,14.8,19.3,13.7,2.8,0,0,88.7
1950-51,0,0,T,0,15.2,22.3,13.7,12.3,7.9,T,0,0,71.4
1951-52,0,0,0,T,17.7,31.6,16.8,8.9,7.4,0.6,0,0,83
1952-53,0,0,0,0.4,11.2,16.1,8,11.9,5.5,2.8,0,0,55.9
1953-54,0,0,0,0,22.7,10.9,16.2,2.6,26.3,1.2,T,0,89.9
1954-55,0,0,0,1,0.7,31.2,28.5,12,11.1,0.3,0,0,84.8
1955-56,0,0,0,T,26,20.3,17.7,14.3,23.1,3.8,T,0,105.2
1956-57,0,0,T,0,16.2,35.6,36.6,3.1,10.2,12,0,0,113.7
1957-58,0,0,0,T,19.2,4.8,31.1,54.2,11.2,4.2,0,0,124.7
1958-59,0,0,0,0,13.5,19,38.4,14,29.2,0.4,T,0,114.5
1959-60,0,0,0,T,12.2,14.2,18.3,49.5,19.5,1.9,T,0,115.6
1960-61,0,0,0,1,15.9,31.9,23.5,11.9,5.1,13.1,T,0,102.4
1961-62,0,0,0,T,5.6,30.2,26.2,28.2,6.7,4.5,0,0,101.4
1962-63,0,0,0,2,2.5,30.2,31.5,15.5,7.7,0.3,0.1,0,89.8
1963-64,0,0,0,0,3.1,24,13.7,14.6,12.8,3.3,0,0,71.5
1964-65,0,0,0,T,5.4,15.2,19.2,9.4,17.5,4.2,0,0,70.9
1965-66,0,0,0,1.2,12.2,7,48,15.2,11.4,3.2,0.1,0,98.3
1966-67,0,0,0,0,10,12.1,11.6,19.8,10.8,0.6,1.2,0,66.1
1967-68,0,0,0,T,19.7,10.4,19.1,11.7,10.6,0.1,0,0,71.6
1968-69,0,0,0,T,11.6,11.7,31.2,12.8,8,3.1,0,0,78.4
1969-70,0,0,0,1,22.1,23.4,38,21.9,12.6,1.5,T,0,120.5
1970-71,0,0,0,0,2.6,32.3,17.2,19.4,22.6,2.9,0,0,97
1971-72,0,0,0,0,18.7,12.9,27.6,31.4,14.1,5.2,0,0,109.9
1972-73,0,0,0,3.1,18.9,19.8,9.9,16.1,8.5,2.4,0.1,0,78.8
1973-74,0,0,0,0,3,23.1,19.7,22.8,12.9,7.1,0.1,0,88.7
1974-75,0,0,0,T,22.1,23.6,11,16.3,7.6,15,0,0,95.6
1975-76,0,0,0,T,5.5,27.3,21.6,8.3,17.3,"2,.5",T,0,82.5
1976-77,0,0,0,0.2,31.3,60.7,68.3,22.7,13.5,2.2,0.5,0,199.4
1977-78,0,0,0,T,15,53.4,56.5,21.7,5.8,1.8,0.1,0,154.3
1978-79,0,0,0,T,3,10.1,42.6,28.3,4.6,8.7,0,0,97.3
1979-80,0,0,0,T,12.6,19.7,10.2,11.7,13.9,0.3,T,0,68.4
1980-81,0,0,0,T,6.7,21.6,14.4,5,13.2,T,0,0,60.9
1981-82,0,0,0,T,1.8,24.8,53.2,12.7,9,10.9,0,0,112.4
1982-83,0,0,0,0,15.8,12.9,9,5.5,6.9,2.3,T,0,52.4
1983-84,0,0,0,T,17.7,52,13.4,32.5,16,0.9,T,0,132.5
1984-85,0,0,0,0,1.4,11.2,65.9,20.9,6.3,1.5,0,0,107.2
1985-86,0,0,0,0,5.2,68.4,17.3,17.3,4.8,1.7,T,0,114.7
1986-87,0,0,0,0,13.7,4.8,28.5,7.7,10.8,2,0,0,67.5
1987-88,0,0,0,T,0.9,9.8,6.9,31.9,6.1,0.8,0,0,56.4
1988-89,0,0,0,0.5,0.6,10.8,5.4,29.6,10.1,2.5,7.9,0,67.4
1989-90,0,0,0,T,7.8,34.8,11.8,28,1.4,9.9,T,0,93.7
1990-91,0,0,0,T,0.7,15.4,16.6,16.1,8.5,0.2,T,0,57.5
1991-92,0,0,0,0.2,18,21.4,18.4,7,22.8,5,0,0,92.8
1992-93,0,0,0,0.6,13.7,16.5,13.1,19.5,29.3,0.5,0,0,93.2
1993-94,0,0,0,2.9,4.8,27.9,35.4,21.6,13.2,6.9,0,0,112.7
1994-95,0,0,0,0,0.9,7.8,23.1,34.6,4.3,3.9,0,0,74.6
1995-96,0,0,0,0,15.7,61.2,25.3,11.9,24.1,3.2,T,0,141.4
1996-97,0,0,0,0,11.5,18.9,42.4,9.3,13.4,2.1,0,0,97.6
1997-98,0,0,0,0.2,16.5,18.2,13.6,1.8,25.3,T,0,0,75.6
1998-99,0,0,0,0,0.2,11.6,65.1,6.9,15.8,0.9,0,0,100.5
1999-00,0,0,0,0,0.9,12.7,19.4,16.2,10.7,3.7,0,0,63.6
2000-01,0,0,0,T,45.6,50.3,19.6,9.8,32.8,0.6,0,0,158.7
2001-02,0,0,0,0.4,0,82.7,13.7,17.2,15.9,2.5,T,0,132.4
2002-03,0,0,0,T,8.9,35.8,37.4,19.5,6.6,3.1,0,0,111.3
2003-04,0,0,0,T,4.2,21.6,45.2,5.9,20.7,3.3,0,0,100.9
2004-05,0,0,0,T,0.2,22.8,37,22.3,17.5,9.3,0,0,109.1
2005-06,0,0,0,0,17.9,20.3,7.1,26.3,6.5,0.1,0,0,78.2
2006-07,0,0,0,22.6,2.1,7.5,15.5,33.5,5.4,2.3,0,0,88.9
2007-08,0,0,0,0,3.4,31.3,17.5,22.5,29.1,T,0,0,103.8
2008-09,0,0,0,0.1,6.2,49.2,30.6,11.6,0.5,2,0,0,100.2
2009-10,0,0,0,T,T,25.1,35.6,13.4,T,T,T,0,74.1
2010-11,0,0,0,T,1.6,32,29.8,34.1,13.3,1,0,0,111.8
2011-12,0,0,0,T,T,3.8,20.8,9.6,1.5,1,0,0,36.7
2012-13,0,0,0,0,2.4,19.6,6.2,20.5,9.8,0.3,T,0,58.8
2013-14,0,0,0,T,10,28.5,42.4,23.3,24.5,1.2,0,0,129.9
2014-15,0,0,0,T,20.5,11.3,25,46.2,9.6,0.3,0,0,112.9
2015-16,0,0,0,T,T,1,25.6,20.5,0.9,7.1,T,0,55.1
2016-17,0,0,0,T,0.9,30.1,11,5,26.8,2.3,0,0,76.1
2017-18,0,0,0,0.1,0.1,33.7,31.2,18.1,22.2,6.9,,,112.3
