trip_distance,fare_amount,tip_amount
2.34,13,1.5
2.45,9.5,0
1.8,10,1.5
0.5,4.5,1.57
1.05,5.5,0.72
1.4,6.5,0
3.5,13.5,0
0.6,4.5,1.05
0.84,4.5,1
1.8,8.5,1.7
1.4,7,1
4.4,15,4.89
2.91,12.5,2.6
0.1,5.5,0
1.59,11,0
2.6,16,0
4.82,15,3
1.78,8.5,1.86
1.1,6.5,1.55
0.8,7.5,0
0.9,7,0
0.93,5,0
6.96,21.5,0
4.3,15.5,3.46
1.7,9,0
1.61,7.5,1.86
1.42,7.5,0
1.58,10.5,1
0.68,4.5,1.45
0.45,4.5,0
1.5,9.5,0
2.46,11.5,2
1.47,7.5,0
2.5,12,0
18.13,52,0
6.9,21,4.45
1.7,13.5,2
0.6,5.5,0
0.5,4,1
1.16,6.5,0
1.7,6.5,1.95
0.79,5,1.58
0.4,4.5,0
5.75,20,4.16
4.1,14,3.05
4.5,15,0
1.46,7,3
1.7,9,0
3.5,15.5,0
1.8,8,0
