Hospital,Type,Cases,Deaths
Bellevue Hospital Center,P,129,4
Harlem Hospital Center,N,35,1
Lenox Hill Hospital,P,228,18
Metropolitan Hospital Center,N,84,7
Mount Sinai Beth Israel,P,291,24
Mount Sinai Hospital,P,270,16
Mount Sinai Roosevelt,N,46,6
Mount Sinai St. Luke's,P,293,19
NYU Hospitals Center,P,241,15
New York Presbyterian Hospital - Allen Hospital,N,105,13
New York Presbyterian Hospital - Columbia Presbyterian Center,P,353,25
New York Presbyterian Hospital - New York Weill Cornell Center,P,250,11
New York-Presbyterian/Lower Manhattan Hospital,N,41,4
